
---------- Begin Simulation Statistics ----------
simSeconds                                   0.315798                       # Number of seconds simulated (Second)
simTicks                                 315797695000                       # Number of ticks simulated (Tick)
finalTick                                315797695000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  32704.82                       # Real time elapsed on the host (Second)
hostTickRate                                  9655998                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     935932                       # Number of bytes of host memory used (Byte)
simInsts                                   2562253051                       # Number of instructions simulated (Count)
simOps                                     4021751866                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    78345                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     122971                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       239424072                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.201953                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.831979                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      452820446                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9194709                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     434818867                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                354741                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           118574110                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        134693791                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            3194084                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          239236276                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.817529                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.130863                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 98477297     41.16%     41.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 39863520     16.66%     57.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 28878914     12.07%     69.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 18290500      7.65%     77.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17507295      7.32%     84.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 16129156      6.74%     91.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 11739267      4.91%     96.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5587159      2.34%     98.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2763168      1.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            239236276                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1875815     13.21%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     13.21% # attempts to use FU when none available (Count)
