
---------- Begin Simulation Statistics ----------
simSeconds                                   0.324003                       # Number of seconds simulated (Second)
simTicks                                 324003231000                       # Number of ticks simulated (Tick)
finalTick                                324003231000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  63638.66                       # Real time elapsed on the host (Second)
hostTickRate                                  5091295                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     930488                       # Number of bytes of host memory used (Byte)
simInsts                                   2563288097                       # Number of instructions simulated (Count)
simOps                                     4023527428                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    40279                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      63225                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       243463148                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.222225                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.818180                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      453098096                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9194694                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     435131113                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                376913                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           118850606                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        134983207                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            3194078                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          243282432                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.788584                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.117751                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                101959591     41.91%     41.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 39513475     16.24%     58.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 29731102     12.22%     70.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 19602456      8.06%     78.43% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 15887726      6.53%     84.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 16292744      6.70%     91.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 12256728      5.04%     96.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5515806      2.27%     98.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2522804      1.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            243282432                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1875872     13.20%     13.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     13.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     13.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     13.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     13.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     13.20% # attempts to use FU when none available (Count)
