
---------- Begin Simulation Statistics ----------
simSeconds                                   0.319440                       # Number of seconds simulated (Second)
simTicks                                 319440205000                       # Number of ticks simulated (Tick)
finalTick                                319440205000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  42293.83                       # Real time elapsed on the host (Second)
hostTickRate                                  7552879                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     931516                       # Number of bytes of host memory used (Byte)
simInsts                                   2563296514                       # Number of instructions simulated (Count)
simOps                                     4023540379                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    60607                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      95133                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       240387476                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.206789                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.828645                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      452828772                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9194706                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     434839560                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                366159                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           118582424                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        134824118                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            3194081                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          240204355                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.810290                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.129936                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 99417059     41.39%     41.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 39911477     16.62%     58.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 28897127     12.03%     70.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 18257059      7.60%     77.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17480490      7.28%     84.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 16133722      6.72%     91.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 11746884      4.89%     96.52% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5593518      2.33%     98.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2767019      1.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            240204355                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1874924     13.21%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     13.21% # attempts to use FU when none available (Count)
